opinion_id,opinion_comment,rating
1,exploit mission-critical communities,1
2,integrate compelling paradigms,3
3,target next-generation networks,5
4,incentivize bricks-and-clicks infrastructures,1
5,benchmark cutting-edge metrics,4
6,aggregate customized platforms,4
7,seize visionary functionalities,3
8,repurpose global systems,4
9,whiteboard dot-com eyeballs,2
10,exploit 24/365 communities,2
11,mesh viral niches,3
12,reintermediate 24/7 content,2
13,revolutionize enterprise web services,1
14,envisioneer open-source eyeballs,1
15,disintermediate seamless experiences,3
16,incentivize synergistic web services,5
17,transform viral channels,3
18,aggregate scalable networks,2
19,whiteboard open-source channels,5
20,redefine visionary infomediaries,3
21,engage B2B experiences,5
22,facilitate efficient niches,2
23,transition bleeding-edge interfaces,4
24,visualize dynamic markets,1
25,productize web-enabled infrastructures,1
26,seize world-class web services,4
27,recontextualize sticky partnerships,3
28,recontextualize scalable relationships,5
29,target open-source methodologies,3
30,engage frictionless e-services,5
31,exploit synergistic web-readiness,5
32,transform turn-key technologies,5
33,benchmark interactive paradigms,3
34,incubate dot-com deliverables,5
35,transform killer convergence,3
36,envisioneer dot-com web services,3
37,orchestrate cross-platform solutions,5
38,matrix turn-key infrastructures,3
39,evolve value-added networks,2
40,seize clicks-and-mortar eyeballs,4
41,benchmark ubiquitous technologies,3
42,disintermediate holistic methodologies,5
43,matrix dynamic systems,3
44,unleash magnetic web-readiness,1
45,streamline 24/7 systems,4
46,integrate holistic e-business,1
47,enable impactful action-items,3
48,morph cross-platform models,5
49,exploit cutting-edge networks,2
50,engineer web-enabled functionalities,1
51,grow virtual interfaces,5
52,embrace cross-media methodologies,5
53,drive value-added initiatives,5
54,orchestrate collaborative markets,4
55,generate impactful networks,1
56,synergize synergistic initiatives,3
57,iterate mission-critical partnerships,3
58,empower bleeding-edge supply-chains,5
59,reintermediate cutting-edge paradigms,4
60,transform open-source models,3
61,target global applications,3
62,matrix cross-platform eyeballs,5
63,engage proactive systems,2
64,expedite collaborative infrastructures,5
65,engage bricks-and-clicks web-readiness,5
66,architect killer e-business,2
67,harness frictionless partnerships,1
68,implement killer platforms,3
69,recontextualize leading-edge ROI,2
70,grow compelling synergies,4
71,monetize world-class infomediaries,5
72,benchmark vertical vortals,3
73,scale cutting-edge users,2
74,cultivate seamless synergies,4
75,strategize holistic technologies,2
76,implement customized interfaces,3
77,revolutionize strategic relationships,4
78,whiteboard back-end web-readiness,5
79,transform impactful paradigms,1
80,drive leading-edge e-commerce,3
81,engage open-source e-services,3
82,whiteboard granular partnerships,5
83,architect web-enabled architectures,4
84,expedite enterprise platforms,1
85,orchestrate robust solutions,4
86,expedite vertical experiences,5
87,transform cross-platform users,3
88,architect compelling niches,4
89,incubate sticky niches,3
90,innovate out-of-the-box schemas,1
91,deliver leading-edge bandwidth,4
92,incentivize distributed ROI,2
93,unleash enterprise interfaces,1
94,expedite 24/365 bandwidth,5
95,envisioneer proactive e-tailers,4
96,cultivate collaborative applications,3
97,facilitate vertical synergies,2
98,optimize innovative models,5
99,streamline dot-com e-services,1
100,engage sexy infomediaries,5
101,streamline 24/7 mindshare,1
102,iterate clicks-and-mortar e-commerce,4
103,matrix virtual methodologies,5
104,aggregate best-of-breed bandwidth,4
105,harness sexy solutions,5
106,recontextualize impactful e-commerce,4
107,cultivate open-source systems,2
108,grow seamless interfaces,3
109,extend collaborative markets,4
110,drive B2B solutions,5
111,streamline viral eyeballs,4
112,generate best-of-breed interfaces,3
113,evolve sticky platforms,5
114,grow viral platforms,1
115,visualize cutting-edge e-markets,5
116,transition dynamic ROI,3
117,visualize clicks-and-mortar solutions,5
118,facilitate robust e-tailers,1
119,leverage plug-and-play paradigms,5
120,implement innovative applications,5
121,envisioneer user-centric markets,4
122,visualize next-generation metrics,5
123,implement seamless users,3
124,productize visionary methodologies,1
125,e-enable rich e-tailers,3
126,whiteboard cross-platform communities,4
127,drive next-generation relationships,5
128,syndicate virtual e-markets,4
129,productize back-end supply-chains,1
130,facilitate magnetic methodologies,4
131,deliver turn-key e-business,4
132,evolve compelling infrastructures,4
133,brand value-added systems,5
134,utilize impactful schemas,4
135,transform back-end functionalities,5
136,implement holistic solutions,1
137,reintermediate integrated e-markets,4
138,drive clicks-and-mortar schemas,2
139,engineer transparent markets,1
140,architect user-centric content,4
141,transition out-of-the-box initiatives,5
142,enhance frictionless partnerships,4
143,visualize integrated web-readiness,2
144,strategize cutting-edge partnerships,3
145,e-enable one-to-one mindshare,3
146,harness collaborative metrics,2
147,transform sticky markets,5
148,harness sticky experiences,5
149,target visionary markets,3
150,expedite best-of-breed bandwidth,4
151,target clicks-and-mortar bandwidth,2
152,embrace efficient eyeballs,2
153,disintermediate one-to-one mindshare,5
154,facilitate wireless models,5
155,empower robust platforms,3
156,generate visionary systems,1
157,exploit granular infomediaries,1
158,syndicate value-added architectures,5
159,generate integrated communities,5
160,empower integrated functionalities,4
161,integrate 24/7 models,4
162,generate seamless users,3
163,evolve real-time platforms,1
164,maximize B2B interfaces,4
165,aggregate revolutionary experiences,2
166,transition customized infomediaries,5
167,extend dot-com convergence,1
168,target front-end e-markets,1
169,recontextualize global e-business,5
170,optimize open-source communities,2
171,transition next-generation synergies,4
172,aggregate leading-edge models,1
173,enhance plug-and-play networks,4
174,optimize revolutionary architectures,4
175,innovate integrated experiences,1
176,deliver best-of-breed partnerships,5
177,architect virtual networks,5
178,engineer integrated metrics,5
179,architect dynamic eyeballs,4
180,monetize front-end ROI,5
181,grow customized vortals,5
182,implement mission-critical applications,2
183,enable ubiquitous e-business,1
184,drive clicks-and-mortar e-services,5
185,generate rich deliverables,5
186,empower proactive infomediaries,2
187,cultivate ubiquitous functionalities,1
188,empower innovative technologies,5
189,leverage e-business niches,4
190,mesh bleeding-edge content,3
191,engage transparent infomediaries,3
192,envisioneer next-generation e-markets,2
193,redefine sexy mindshare,2
194,monetize proactive e-tailers,3
195,iterate scalable experiences,3
196,architect plug-and-play models,3
197,engineer leading-edge channels,2
198,morph viral supply-chains,4
199,leverage granular experiences,4
200,enhance e-business mindshare,1
